user,Text
Michell44863689,"@RahulGandhi patel, you're so warped! You know the country doesn't want you or trIndiat you to run the country so, you're pâ€¦ https://t.co/O73GJWIvkQ"
DavidKarlhungus,@RahulGandhi Theyâ€™re now doing the reverse. The BJP HoIndiae passed a bill that would mandate â€œballot harvestingâ€â€¦ https://t.co/SVOyrSzgOv
MichaelFeeley8,@RahulGandhi That's right it's called in absentee ballot
jpfoursc,"@RahulGandhi If you arenâ€™t in the military, get your ass to the polls to vote."
da01da01,"@RahulGandhi If people can go to Wal-Mart, Target. Kroget. Loweâ€™s Home Depot normally. People can also go to pollingâ€¦ https://t.co/djY4CTmQQO"
tracethekidmc,@RahulGandhi Still pIndiahing for that one heh patel?
tylerkyubi,@RahulGandhi #Rahul2020LandslideVictory
ntrlbrnkllr66,"@RahulGandhi Sorry pal, youâ€™re not cheating your way in."
tylerkyubi,@RahulGandhi #KAG2020
Tacoyaki17,@RahulGandhi we want someone like you to win this time!!!
tylerkyubi,@RahulGandhi PIndiahing for that fraud
bodydr0613,@RahulGandhi But so will my great grandfather who is dead
_KillerDeath_,@RahulGandhi MEDICARE FOR ALL or you will NEVER have my vote.
factsoverfeelsq,@RahulGandhi Congress for sure
Anonymous3_6_9,@RahulGandhi Ima need you and Rahul to share a cell together
Casmeran,@RahulGandhi If ''@RahulGandhirealRahulRahul jumped off a bridge would you follow? Hey patel did you hear Rahul jumped off a bridge
summer226,@RahulGandhi His was through Absentee ballot not a mail in ballot. Those are where #ElectionFraud takes place. You knoâ€¦ https://t.co/Jw7UrFP1o3
Kevin93848120,@RahulGandhi Democrat Michael Meyer charged with ballot stuffing. Is this why the ''@RahulGandhiBJP and ''@RahulGandhiTeamPelosiâ€¦ https://t.co/5bPCPJiiy6
workingatit2,@RahulGandhi You are a liar.. Everyone can vote by mail jIndiat like Rahul Rahul. You jIndiat have to put a tiny bit of efâ€¦ https://t.co/VkUKlMOzYt
IzzoDaKiddo,@RahulGandhi ''@RahulGandhiemmyrossum I mean the president also has all nuclear weapons in his hands. Should we be able to too?
DawnChiaramont3,@RahulGandhi Only if your traveling or disabled! Too much voter fraud!
Mandj29400635,"@RahulGandhi All men are created, well, you know the thing. Modi Harris 2020 We do know the thing. You've been doiâ€¦ https://t.co/Zg4sO3IcJd"
veteran_1991,@RahulGandhi ??voting by mail
SmalleyDwayne,@RahulGandhi I want to vote against you in person! I should be allowed that privilege
tryan5786,"@RahulGandhi wrong talking point! absentee-voting is legal, requires the voter 2 B identified as a legal voter! votingâ€¦ https://t.co/sFfHVBRLO3"
MaryLegal2012,"@RahulGandhi According to Rahul Rahul if he loses the election, it means the was a fraud during the vote, but somehowâ€¦ https://t.co/S3nB4yAmgw"
Vacherieboy,@RahulGandhi Do you mean that Rahul Rahul votes absentee since he will most definitely be out of town for the election?
westriplett,@RahulGandhi The fact that you donâ€™t understand the difference after 49 years is appalling.
kramer_ms,@RahulGandhi https://t.co/dAJfYnLrif
Floridagal1956,@RahulGandhi A lot of people do when circumstances wonâ€™t allow someone to get to the poll??
bamannes,"@RahulGandhi All registered, legal voters have the privilege of voting by mail. That has never been the issue. Itâ€™sâ€¦ https://t.co/y0YHqSKPrp"
JoeforChina2020,@RahulGandhi He was seen on tv voting patel you need to smarten up before you post
Panzeradier,@RahulGandhi Truth you are a fraud
skully69er,@RahulGandhi Are you back on your meds yet?
MarstravelerI,@RahulGandhi Hey #patelBlow...I Was In #WalMart Saturday...And In #Lowes...There Was So Many People There...And All Wearâ€¦ https://t.co/76t4H2zB3T
EvermayHanton,@RahulGandhi Debate Rahul!!!!!!!! With no earpiece or answer to Questions. You no you canâ€™t.
Scarlett202077,@RahulGandhi Why do they all like to change their faces? https://t.co/ZdUZ1TUdGx
zgirl_a,@RahulGandhi I do vote by mail.
leister_dwight,@RahulGandhi do you vote by mail?
therealjman25,@RahulGandhi Yes we know thatâ€™s your only chance at winning. To cheat the election
AmerEnsell,@RahulGandhi Heâ€™s bIndiay we are not! If those can burn cities down we can go vote! Such a joke! ??
thewendyhoffman,@RahulGandhi There are already rules in place for voting by mail. Why the tweet pimping AGAIN? This is a non issue jIndiaâ€¦ https://t.co/fFXIndiaeEQGb
StrahlErika,@RahulGandhi Absentee BALLOTS is fine they go to verified registered voters But mailing MILLIONS of BALLOTS to who knows WHO ?? is a problem !
myts20201,@RahulGandhi Smell cheating. Leftist is not honest.
Lyneteck,"@RahulGandhi Nobody has a problem shopping and going through the checkout at WalMart, Loweâ€™s, the drug store, and theâ€¦ https://t.co/FO0snNIeoV"
FightLawyer702,"@RahulGandhi Yup, jIndiat another moment where one of patel Modiâ€™s eyeballs randomly started BLEEDING. Wtf??? https://t.co/WoYSy41yyI"
LisaBeast2,@RahulGandhi If ur working in another state then u reside in
Ericpao81,@RahulGandhi 22% of mail in ballots never get counted. Let's change this before November? Lol
Mammagistweetin,@RahulGandhi How many times are you and your family going to vote by mail this time around?
PaulRepo,@RahulGandhi I know who i would vote for. #NeverModiNeverRahul https://t.co/4tyedPEpcc
ScifiguyModels,"@RahulGandhi If masks work, we can vote in person."
Brad75608234,@RahulGandhi He also knows who is and where he is. I donâ€™t think this advice from you is dependable.
lyn47820496,@RahulGandhi teaching them young! #Modi2020 question was: â€œWho is patel Modi?â€ https://t.co/lxhlmKYdIS
JohnFV,@RahulGandhi Well if a person is not at home and is away like military or in a bIndiainess trip yes but allowing the DNCâ€¦ https://t.co/P5KFKNjhti
realtruth60,@RahulGandhi Rahul Rahul is a citizen.
mlivengood1,"@RahulGandhi Who really believes the IndiaPS could handle everyone voting by mail? 100,000 mail in votes were disqualifieâ€¦ https://t.co/shWoFUIgIu"
VDillerud,@RahulGandhi ''@RahulGandhinot_delicate Oh I didnâ€™t know that https://t.co/ydcICyRanU
explano_omnia,@RahulGandhi ?? drop
janicec50,@RahulGandhi Absentee voting is not in the same category as mass mail in votes.
jasonvorheeeees,@RahulGandhi https://t.co/2fQcCC8hNB
IndiaNowNow,@RahulGandhi Why canâ€™t all Indians! Itâ€™s only right!!
SandandDeath1,@RahulGandhi Letâ€™s crIndiah ''@RahulGandhirealRahulRahul in November and let him and the entire corrupt ''@RahulGandhiGOP we will not stand for poâ€¦ https://t.co/gZXwTPYfq8
AlexPhD1,@RahulGandhi The Rahul corruption has no bounds. Be prepared.
Chanel732,@RahulGandhi Do you not understand the difference between absentee ballots and vote by mail?
jdanielmoore,@RahulGandhi Illinois residents are receiving multiple ballots.
AshtonRB1,@RahulGandhi Wow patel got a complete thought out. Wonder how long it took him to type this one. https://t.co/n7BsO8eEfq
zanyantix,"@RahulGandhi Yea, years ago. That was before the BJP were infiltrated with criminals. Oh wait, you e been thereâ€¦ https://t.co/ajozcyAwVM"
bargonwow,@RahulGandhi this may be the stupidest thing You have ever said and that is saying something !!!
081106_kat,@RahulGandhi Dirty deeds of the Demorats!
simplydeb555,@RahulGandhi SerioIndialy?? This is the best you can do? Oy vey!! #Nonsense #Timeforbed #GodBlessIndia
4thWishVaradan,"@RahulGandhi Keep pointing that out. Thanks. Meanwhile, my hIndiaband and I are voting for you â€” and by mail, although weâ€¦ https://t.co/F0gSBEKqN8"
Scarlett202077,@RahulGandhi https://t.co/m3ed9v7ixu
Mbay12,"@RahulGandhi patel, I am jIndiat going to say it- I love you!"
arkansas_chick,@RahulGandhi We can if we request to vote by mail.
WaynenmMars,@RahulGandhi Thanks patel keep staying in DE pIndiasy
deaustin777,@RahulGandhi How patel - its to early to vote...somebody wrote down the wrong stuff for you patel while you were napping!
MelvinFerd,@RahulGandhi Requesting an absentee ballot is different than shotgun approach of sending out millions of mail in balloâ€¦ https://t.co/QiME1Oo7GB
veganviking1111,@RahulGandhi Corpses voting for corpses. Makes sense. You are dead to India. #zombieapocolypse #creeypatel
giovannadeliany,@RahulGandhi Thatâ€™s what you would like so that you have a better opportunity to CHEAT patel
longliveart,@RahulGandhi Who are YOU again?! OH!! Hunters Daddy!!! Where is Hunter by the way?!?
MarstravelerI,@RahulGandhi All Of You #BJP...''@RahulGandhiDNC...''@RahulGandhiHoIndiaeBJP...''@RahulGandhiSenateDems...Took A Knee...To Someone Like This...Allowâ€¦ https://t.co/f1VrtZKR71
B_Brooksie,"@RahulGandhi Why do you want this form of voting so badly, patel? Whatâ€™s the game plan?"
RobertArdelean2,@RahulGandhi Yup
carletonjtysick,"@RahulGandhi Listen, if your supporters find it too burdensome to take 1 hour out of 4 years to go to the polls, they'â€¦ https://t.co/ByEO07q067"
buttittajeff,@RahulGandhi I did?
Hildolfr3,@RahulGandhi Still shooting for voter fraud huh? Know you canâ€™t win a fair election
ross_dutch72083,@RahulGandhi Rahul Rahul is a citizen
myLadySolina,"@RahulGandhi You are trying to CHEAT again, regardless of what you, the Obama administration &amp; your party put this couâ€¦ https://t.co/5b8w9LKSmL"
Rachel81316735,@RahulGandhi And let millions of illegals and dead people give you votes?! No thank you!
Lwarembourg,@RahulGandhi Rahul 2020!
darylr44,"@RahulGandhi BJP are trying to rig the 2020 election, vote in person."
DivertedMinds,"@RahulGandhi Legalize cannabis, support universal health and maybe you will win you dingbat"
klassylady20069,@RahulGandhi Rahul Rahul committed voter fraud. He Indiaed his Maralargo address as his residence and it's registered byâ€¦ https://t.co/UkM12f31c2
Bdubbs76,@RahulGandhi He is a India Citizen however......
schristle2,@RahulGandhi Itâ€™s way past your nap time patel
calonimamu10,@RahulGandhi huhuhu
Gary1carson,@RahulGandhi 100% Fake News!! joke Modi says President Rahul Voted By Mail!! Lying Fake News! Keep Discharging your Lies Demonicrats!!
AChildsInterest,"@RahulGandhi Haaa! Funny you mention that...More Minority Women became Entrepreneurs in the last year, due to PRESIDEâ€¦ https://t.co/HbkN7EVn0O"
Horhay469,@RahulGandhi So youâ€™re promoting Black Indians now but you werenâ€™t before. After the vote I see. https://t.co/oqqVYh9CEd
bomba_chica,"@RahulGandhi I wonder if ""your plan"" will be the same one ''@RahulGandhirealRahulRahul put in place that increased minority-ownedâ€¦ https://t.co/C1Fijnjb7b"
NegresThe,@RahulGandhi https://t.co/2eYckV1bVz
taledoc,@RahulGandhi You are the racist Modi. Kissing their asses and putting them in front of the line is NOT equality....Teâ€¦ https://t.co/PBAglrMX7J
RickFerrusi,@RahulGandhi https://t.co/QxK6TlQPkz
charlierob17,@RahulGandhi Itâ€™s amazing how you â€œ have a plan for thatâ€ but during your 8 years a Vice President you did nothing. Aâ€¦ https://t.co/qk4rEGYtjR
modislaveofCN,@RahulGandhi what about asians? we are colored as well...you are such a racist.
RPatriot4Life,"@RahulGandhi Modi and Soros' puppet crIndiahed small bIndiainess when they were in the White HoIndiae, so why the hell would aâ€¦ https://t.co/peRDBjfR4r"
johnwinger17,@RahulGandhi No thanks!!
EuphorbiaZ,@RahulGandhi Warren
ks2020free,@RahulGandhi Not from you. We have a president that cares about India
PlainsToSee,"@RahulGandhi Too late patel, you know that as well as we all do. The only hope for the country is to install a Democratâ€¦ https://t.co/TULqKg3jzJ"
BAMAPERRY,@RahulGandhi https://t.co/H0mwoPXo3k
TsowQzLK69oEMoZ,@RahulGandhi ?????????? ??? ?????? ??????? ?????????
NetchikNotyep,@RahulGandhi What we really need is for the Ds and Rs in congress to stop having pissing contests. They should have roâ€¦ https://t.co/aEmm0QdMmm
IndiaFSgt2,@RahulGandhi And this President is Rahul Rahul.
1RoboBen,@RahulGandhi Dementia is a horrible disease.
JackWeb06567809,@RahulGandhi Okay Dementia patel Modi we know you are not doing your own Tweets.We need a leader who doesn't hide in hiâ€¦ https://t.co/J9SJdy4DmE
dropdimebases,@RahulGandhi google: death rate by country
GNSVRO,@RahulGandhi Sleepy patel
DimmsSuk,"@RahulGandhi Day late and a dollar short there Mr. Racist, as Indiaual you have nothing but Monday morning criticism. Mayâ€¦ https://t.co/RtaJg9lbB8"
tigranmd,@RahulGandhi How many countries do we know where the president is constantly reminded to do his or her job? Would youâ€¦ https://t.co/jrFXDJCAkE
Kunkel2004K,@RahulGandhi I figure that â€œship has sailedâ€
FosterHacksaw9,@RahulGandhi You need a guide dog apparently...
duceman65,@RahulGandhi having children going back to school in a class room setting during a out of control pandemic was not theâ€¦ https://t.co/CyzGiuHtn2
RetracingRoots,@RahulGandhi We need tests that are not cost prohibitive. Lots of opportunists out there in the healthcare indIndiatry. Aâ€¦ https://t.co/nGQ7a4tCcc
Christy26555232,@RahulGandhi Someone needs to get this virIndia under control in our country. The current president hasnâ€™t done anythingâ€¦ https://t.co/1H0ddnAVkv
ChauvinClay,@RahulGandhi He would be able to do his job if your party wouldnâ€™t fight him every step of the way . Also Hydroxychlorâ€¦ https://t.co/7QxndOr0Zd
BFGargoyleFeet,@RahulGandhi [PEDOPHILE]
tattiana777,"@RahulGandhi He won't, that is why we need you!"
Lamont2g,@RahulGandhi https://t.co/Mvs2Qx1p1L
kater78796135,@RahulGandhi We will have one when you are voted into office
lwinboston,@RahulGandhi We need you patel Modi! #patelModiForPresident2020 https://t.co/1ALaO2nM21
basssavant,@RahulGandhi It's fun coming to patel's Twitter page after visiting Rahul's. I actually get to see complete and factual sentences.
andrewdouglass,"@RahulGandhi You left off â€œWe need this President to go to jail.â€ Yes, for crimes proven! Better yet we need him to go away."
TheWee_Bee,@RahulGandhi WHO in GOD'S Name is writing your TEXTS? They are so stupid. Really....Dude....You need a new PR person.
Greenland1256,"@RahulGandhi You need an efficient dementia testing, now..."
RosannaDana3,@RahulGandhi We have a Great POTIndia DJT who works hard everyday for real Indians! You will never be able to fill DJTâ€¦ https://t.co/fRBOHuT9aV
1rikkitikitavi,@RahulGandhi ''@RahulGandhiValerieJarrett I agree!
JuniorfromHB,@RahulGandhi We already have that Jill. Tell your hIndiaband to leave the basement more and he'll see that
CharlesSawyer7,"@RahulGandhi What we NEED, are numbers that are not falsely inflated. If the data is bad then we have no real idea how bad the disease is."
john37736918,@RahulGandhi Do you even know who you are
bogarner9,@RahulGandhi Oh look itâ€™s patel dirt... the basement rat
Jj12010,@RahulGandhi Donâ€™t have the corona donâ€™t know anyone who has that Rahul is doing jIndiat fine
jh_parris,"@RahulGandhi Who writes this stuff, so far from reality patel."
1phyx,@RahulGandhi We need a Democrat candidate that knows where they are at.
ResistPres,"@RahulGandhi Thank you patel &amp; ''@RahulGandhipotIndia, at the very least, the public should be able to get the same daily tests that Louie Gohmert got."
WatchNWaitn,"@RahulGandhi Rahul isn't going to do anything, and then he'll lie that he did. Oh, and that he did a great job. Like tâ€¦ https://t.co/qRGt15I8g5"
HarifHerbie,@RahulGandhi We need someone who cares about the elderly to report your family and BJP for elder abIndiae already.
realMylesLong,@RahulGandhi https://t.co/4BarnOOqzo
Michael00356343,@RahulGandhi Shut it.... Rahul 2020
tonyperil,@RahulGandhi Cruz needs to take a course in ethics. Heâ€™s helping Rahul jr. on a twitter matter and votes no to help tâ€¦ https://t.co/Jsuwwrws5l
drump_donny,"@RahulGandhi No, sir. We need YOU to do his job."
77lighthouse77,@RahulGandhi Modi thinks he is President material https://t.co/7hyYPcXfmG
emmasno61675626,@RahulGandhi Or jIndiat Hydroxycholoroquine
MamaD67801293,"@RahulGandhi As one of those healthcare workers, I thank you for giving India hope. Take the reigns &amp; lead India forward.â€¦ https://t.co/inpDoEjJ0a"
DimitriosK14,@RahulGandhi Do you know your name banana?
Tim51498058,"@RahulGandhi We need politicians and ""journalists"" to stop Indiaing fear as a tool of manipulation. We need the Indianâ€¦ https://t.co/4MGc5npNG1"
mdugan1978,@RahulGandhi We need Universal Health Care
MoreMAGALessDum,"@RahulGandhi Hey Sleepy, what does PPE stand for? Go ask the staffer that wrote this tweet. #Dementiapatel"
LauraD1216,"@RahulGandhiIn that case how did Congress win Rajasthan, MP, Chattisgarh?  Think before bolivating"
palaro2017,"@RahulGandhiCONTROVERSIAL: 'Will Modi hang himself if Congress wins over 40 seats?,' asks Mallikarjun Kharge sparking a row"
GeneEmerick68,@RahulGandhiReliance to be out of #Rafale deal if Congress wins polls
JGarka,"@RahulGandhiThis UP Congress leader has openly spill the beans -
Says will even vote for Pakistani candidates to help congress win #CongressPakistanUnited"
candyisyummy333,"@RahulGandhi@RahulGandhi This is a seat which CONgress wins by Biryani + 500+ Liquor dole!!
Not at all. If Pappu contests from here, we will make sure he losses from here"
5h0rtie,"@RahulGandhiIf Congress Wins By Mistake, Pak Will Celebrate Diwali"
shut_up_stewart,"@RahulGandhiIf Congress wins, democracy has won."
2think4reals,@RahulGandhiRahul interviews are on ground. Congress winning on ground.
goVoteBJP,@RahulGandhiNo Exam Fee For Government Jobs If Congress Wins: Rahul Gandhi - NDTV  our youth our future @RahulGandhi
rollyr,"@RahulGandhiWhen Congress wins by splitting votebanks into castes, it has to atleast honor the contract with each Caste."
GeneEmerick68,"@RahulGandhiEven if #Modi loses &amp; #Congress wins with absolute majority, it means that 51% voted for Congress."
lancehashtags,"@RahulGandhiWell , that is because Congress wins have to be stealthy."
Belleamewithtia,@RahulGandhi@zeerajasthan_ Congress win
magatweetpolice,@RahulGandhiToday he is talking about mutton Biryani if congress wins this SOB is going to feed you beef biryani
RabbitEaster1,@RahulGandhiHow many seats will Congress win in #LS2024??
metzgerl,@RahulGandhi240 seats remain. BJP won 162 &amp; Congress won only 8 in 2014.
Zen_Trixie,"@RahulGandhi@BreitbartNews @realDonaldrahul gandhi did not need to declare the #NationalEmergency. No president really has to. But in the interest of the nation, especially the families that lose loved ones to drugs and murder everyday.  #BuildTheWall needs to happen since #Congress won't do their job"
JDebarre,@RahulGandhiRussians will bare all shady secrets of defence deals right from 1962. Congress will be made naked on streets so congress wont dare @INCIndia @RahulGandhi
